1401010006,AIR BULUH,14.09.01.2004,AIR BULUH,1401010
1401010007,LUBUK RAMO,14.09.01.2007,LUBUK RAMO,1401010
1401010008,KOTO CENGAR,14.09.01.2009,KOTO CENGAR,1401010
1401010009,SEBERANG CENGAR,14.09.01.2008,SEBERANG CENGAR,1401010
1401010010,SANGAU,14.09.01.2010,SANGAU,1401010
1401010011,BANJAR PADANG,14.09.01.2011,BANJAR PADANG,1401010
1401010012,LUBUK JAMBI,14.09.01.1012,PASAR LUBUK JAMBI,1401010
1401010013,KOTO LUBUK JAMBI,14.09.01.2014,KOTO LUBUK JAMBI,1401010
1401010014,KASANG,14.09.01.2013,KASANG,1401010
1401010016,AUR DURI,14.09.01.2026,AUR DURI,1401010
1401010017,BUKIT KAUMAN,14.09.01.2025,BUKIT KAUMAN,1401010
1401010018,SUNGAI MANAU,14.09.01.2027,SUNGAIMANAU,1401010
1401010028,SAIK,14.09.01.2021,SAIK,1401010
1401010029,PEBAUN HULU,14.09.01.2022,PEBAUN HULU,1401010
1401010030,PEBAUN HILIR,14.09.01.2023,PEBAUN HILIR,1401010
1401010031,KINALI,14.09.01.2024,KINALI,1401010
1401010032,PULAU BINJAI,14.09.01.2015,PULAUBINJAI,1401010
1401010033,SEBERANG PANTAI,14.09.01.2016,SEBERANG PANTAI,1401010
1401010034,LUAI,14.09.01.2018,LUAI,1401010
1401010035,RANTAU SIALANG,14.09.01.2017,RANTAU SIALANG,1401010
1401010036,BANJAR GUNTUNG,14.09.01.2019,BANJAR GUNTUNG,1401010
1401010038,BUKIT PEDUSUNAN,14.09.01.2020,BUKITPEDUSUNAN,1401010
1401010041,MUARO TOMBANG,14.09.01.2030,MUARO TOMBANG,1401010
1401011001,SUNGAI KELELAWAR,14.09.12.2002,SUNGAIKELELAWAR,1401011
1401011002,SUNGAI ALAH,14.09.12.2005,SUNGAIALAH,1401011
1401011003,LUBUK AMBACANG,14.09.12.2001,LUBUK AMBACANG,1401011
1401011004,KOTO KOMBU,14.09.12.2006,KOTO KOMBU,1401011
1401011005,SUMPU,14.09.12.2007,SUMPU,1401011
1401011006,INUMAN,14.09.12.2009,INUMAN,1401011
1401011007,TANJUNG MEDANG,14.09.12.2010,TANJUNGMEDANG,1401011
1401011008,MUDIK ULO,14.09.12.2008,MUDIK ULO,1401011
1401011009,SUNGAI PINANG,14.09.12.2004,SUNGAIPINANG,1401011
1401011010,TANJUNG,14.09.12.2003,TANJUNG,1401011
1401011011,SEROSAH,14.09.12.2011,SEROSA,1401011
1401011012,SAMPURAGO,14.09.12.2012,SAMPURAGO,1401011
1401012001,PULAU RUMPUT,14.09.07.2003,PULAURUMPUT,1401012
1401012002,KOTO GUNUNG,14.09.07.2006,KOTO GUNUNG,1401012
1401012003,TELUK BERINGIN,14.09.07.2002,TELUKBERINGIN,1401012
1401012004,PULAU MUNGKUR,14.09.07.2001,PULAUMUNGKUR,1401012
1401012005,SEBERANG GUNUNG,14.09.07.2004,SEBERANG GUNUNG,1401012
1401012006,TEBERAU PANJANG,14.09.07.2005,TEBERAU PANJANG,1401012
1401012007,GUNUNG,14.09.07.2007,GUNUNG,1401012
1401012008,TOAR,14.09.07.2008,TOAR,1401012
1401012009,KAMPUNG BARU,14.09.07.2010,KAMPUNG BARU,1401012
1401012010,PETAPAHAN,14.09.07.2009,PETAPAHAN,1401012
1401012011,LUBUK TERANTANG,14.09.07.2012,LUBUK TERENTANG,1401012
1401012012,SIBEROBAH,14.09.07.2013,SIBEROBAH,1401012
1401012013,PISANG BEREBUS,14.09.07.2011,PISANG BEREBUS,1401012
1401012014,SEBERANG SUNGAI,14.09.07.2014,SEBERANG SUNGAI,1401012
1401013001,PERHENTIAN SUNGKAI,14.09.15.2001,PERHENTIAN SUNGKAI,1401013
1401013002,SUNGAI BESAR,14.09.15.2005,SUNGAIBESAR,1401013
1401013003,SUNGAI BESAR HILIR,14.09.15.2009,SUNGAIBESAR HILIR,1401013
1401013004,IBUL,14.09.15.2002,IBUL,1401013
1401013005,KAMPUNG BARU IBUL,14.09.15.2010,KAMPUNG BARU IBUL,1401013
1401013006,PANGKALAN,14.09.15.2004,PANGKALAN,1401013
1401013007,MUARO TOBEK,14.09.15.2008,MUARATOBEK,1401013
1401013008,MUARO TIU MAKMUR,14.09.15.2007,MUARO TIU MAKMUR,1401013
1401013009,MUARA PETAI,14.09.15.2003,MUARAPETAI,1401013
1401013010,SETIANG,14.09.15.2006,SETIANG,1401013
1401020001,PANGKALAN INDARUNG,14.09.03.2001,PANGKALAN INDARUNG,1401020
1401020002,PULAU PADANG,14.09.03.2002,PULAUPADANG,1401020
1401020003,MUARA LEMBU,14.09.03.1003,MUARA LEMBU,1401020
1401020004,LOGAS,14.09.03.2004,LOGAS,1401020
1401020005,SUNGAI BAWANG,14.09.03.2008,SUNGAIBAWANG,1401020
1401020006,AIR MAS,14.09.03.2009,AIR EMAS,1401020
1401020007,SUMBER DATAR,14.09.03.2013,SUMBER DATAR,1401020
1401020008,SUNGAI KERANJI,14.09.03.2012,SUNGAIKERANJI,1401020
1401020009,PASIR EMAS,14.09.03.2010,PASIR EMAS,1401020
1401020010,SUNGAI SIRIH,14.09.03.2007,SUNGAISIRIH,1401020
1401020011,KEBUN LADO,14.09.03.2005,KEBUN LADO,1401020
1401020013,SUNGAI KUNING,14.09.03.2006,SUNGAIKUNING,1401020
1401020014,PETAI BARU,14.09.03.2011,PETAI BARU,1401020
1401020015,LOGAS HILIR,14.09.03.2014,LOGAS HILIR,1401020
1401021001,PETAI,14.09.08.2002,PETAI,1401021
1401021002,SUNGAI BULUH,14.09.08.2006,SUNGAIBULUH,1401021
1401021003,SIMPANG RAYA,14.09.08.2005,SIMPANG RAYA,1401021
1401021004,KOTO BARU,14.09.08.2001,KOTO BARU,1401021
1401021005,SUMBER JAYA,14.09.08.2008,SUMBER JAYA,1401021
1401021006,SUKA DAMAI,14.09.08.2007,SUKA DAMAI,1401021
1401021007,MUARA BAHAN,14.09.08.2009,MUARA BAHAN,1401021
1401021008,BUKIT RAYA,14.09.08.2010,BUKITRAYA,1401021
1401021009,BERINGIN JAYA,14.09.08.2011,BERINGIN JAYA,1401021
1401021010,SUKAMAJU,14.09.08.2012,SUKA MAJU,1401021
1401021011,SUNGAI PAKU,14.09.08.2003,SUNGAIPAKU,1401021
1401021012,TANJUNG PAUH,14.09.08.2004,TANJUNGPAUH,1401021
1401030001,BANDAR ALAI,14.09.02.2001,BANDAR ALAI,1401030
1401030002,PULAU KEDUNDUNG,14.09.02.2002,PULAUKEDUNDUNG,1401030
1401030003,PULAU ARO,14.09.02.2003,PULAUARO,1401030
1401030004,SEBERANG TALUK,14.09.02.2004,SEBERANG TALUK,1401030
1401030005,PULAU BARU,14.09.02.2005,PULAU BARU,1401030
1401030006,KOTO TUO,14.09.02.2006,KOTO TUO,1401030
1401030007,KOPAH,14.09.02.2007,KOPAH,1401030
1401030008,JAYA,14.09.02.2022,JAYA,1401030
1401030009,MUNSALO,14.09.02.2008,MUNSALO,1401030
1401030015,BERINGIN TALUK,14.09.02.2023,BERINGIN TALUK,1401030
1401030016,SAWAH,14.09.02.2014,SAWAH,1401030
1401030017,PASAR TALUK,14.09.02.1016,PASAR TELUK,1401030
1401030018,KOTO TALUK,14.09.02.2015,KOTO TALUK,1401030
1401030019,SIMPANG TIGA,14.09.02.1018,SIMPANG TIGA,1401030
1401030020,PULAU GODANG,14.09.02.2021,PULAU GODANG KARI,1401030
1401030021,KOTO KARI,14.09.02.2017,KOTO KARI,1401030
1401030022,PINTU GOBANG,14.09.02.2019,PINTU GOBANG,1401030
1401030023,JAKE,14.09.02.2020,JAKE,1401030
1401030024,SITORAJO,14.09.02.2024,SITORAJO,1401030
1401030025,SEBERANG TELUK HILIR,14.09.02.2026,SEBERANG TALUK HILIR,1401030
1401030026,SUNGAI JERING,14.09.02.1025,SUNGAIJERING,1401030
1401030027,TITIAN MODANG KOPAH,14.09.02.2027,TITIAN MODANG KOPAH,1401030
1401030028,PULAU BANJAR KARI,14.09.02.2028,PULAUBANJAR KARI,1401030
1401031001,PULAU KOPUNG,14.09.14.2005,PULAUKOPUNG SENTAJO,1401031
1401031002,KAMPUNG BARU SENTAJO,14.09.14.2004,KAMPUNGBARU SENTAJO,1401031
1401031003,KOTO SENTAJO,14.09.14.2003,KOTO SENTAJO,1401031
1401031004,MUARO SENTAJO,14.09.14.2002,MUARO SENTAJO,1401031
1401031005,PULAU KOMANG,14.09.14.2001,PULAUKOMANG SENTAJO,1401031
1401031006,BERINGIN JAYA,14.09.14.1015,BERINGIN JAYA,1401031
1401031007,JALUR PATAH,14.09.14.2009,JALUR PATAH,1401031
1401031008,TERATAK AIR HITAM,14.09.14.2006,TERATAK AIR HITAM,1401031
1401031009,PARIT TERATAK AIR HITAM,14.09.14.2008,PARIT TERATAK AIR HITAM,1401031
1401031010,SEBERANG TERATAK AIR HITAM,14.09.14.2007,SEBERANG TERATAK AIR HITAM,1401031
1401031011,GERINGGING BARU,14.09.14.2010,GERINGING BARU,1401031
1401031012,MARSAWA,14.09.14.2011,MARSAWA,1401031
1401031013,LANGSAT HULU,14.09.14.2012,LANGSAT HULU,1401031
1401031014,MUARA LANGSAT,14.09.14.2013,MUARA LANGSAT,1401031
1401031015,GERINGGING JAYA,14.09.14.2014,GERINGGING JAYA,1401031
1401040001,KOTO BENAI,14.09.06.2021,KOTO BENAI,1401040
1401040002,TALONTAM,14.09.06.2004,TALONTOM,1401040
1401040003,BANJAR BENAI,14.09.06.2003,BANJAR BENAI,1401040
1401040004,GUNUNG KESIANGAN,14.09.06.2005,GUNUNGKESIANGAN,1401040
1401040005,BANJAR LOPAK,14.09.06.2007,BANJAR LOPAK,1401040
1401040006,PULAU KALIMANTING,14.09.06.2006,PULAUKALIMANTING,1401040
1401040007,TANJUNG,14.09.06.2008,TANJUNGSIMANDOLAK,1401040
1401040008,PULAU INGU,14.09.06.2012,PULAUINGU,1401040
1401040009,SIMANDOLAK,14.09.06.2013,SIMANDOLAK,1401040
1401040012,TEBING TINGGI,14.09.06.2014,TEBING TINGGI,1401040
1401040013,PULAU LANCANG,14.09.06.2015,PULAULANCANG,1401040
1401040014,PULAU TONGAH,14.09.06.2010,PULAUTONGAH,1401040
1401040015,UJUNG TANJUNG,14.09.06.2011,UJUNG TANJUNG,1401040
1401040016,SIBERAKUN,14.09.06.2009,SIBERAKUN,1401040
1401040017,BENAI,14.09.06.1001,BENAI,1401040
1401040018,BENAI KECIL,14.09.06.2016,BENAI KECIL,1401040
1401050020,PULAU KIJANG,14.09.04.2009,PULAU KIJANG,1401050
1401050021,BANUARAN,14.09.04.2006,BANUARAN,1401050
1401050022,KOTO TUO,14.09.04.2005,KOTO TUO,1401050
1401050023,PASAR USANG BASERAH,14.09.04.1001,PASAR USANG,1401050
1401050024,PULAU MADINAH,14.09.04.2015,PULAUMADINAH,1401050
1401050025,KAMPUNG TENGAH,14.09.04.2016,KAMPUNG TENGAH,1401050
1401050026,KEPALA PULAU,14.09.04.2018,KEPALA PULAU,1401050
1401050035,KAMPUNG MEDAN,14.09.04.2017,KAMPUNG MEDAN,1401050
1401050036,PASAR BARU BASERAH,14.09.04.1002,PASAR BARU,1401050
1401050037,SIMPANG TANAH LAPANG,14.09.04.2003,SIMPANG TANAH LAPANG,1401050
1401050038,KAMPUNG MADURA,14.09.04.2007,KAMPUNG MADURA,1401050
1401050039,RAWANG BONTO,14.09.04.2004,RAWANG BONTO,1401050
1401050040,DUSUN TUO,14.09.04.2020,DUSUN TUO,1401050
1401050041,GUNUNG MELINTANG,14.09.04.2028,GUNUNGMELINTANG,1401050
1401050042,TERATAK BARU,14.09.04.2019,TERATAK BARU,1401050
1401050043,SIMPANG PULAU BERALO,14.09.04.2030,SIMPANG PULAUBERALO,1401050
1401051001,PEMBATANG,14.09.09.2010,PEMBATANG,1401051
1401051002,PADANG KUNIK,14.09.09.2009,PADANG KUNIK,1401051
1401051003,PADANG TANGGUNG,14.09.09.2008,PADANG TANGGUNG,1401051
1401051004,TELUK PAUH,14.09.09.2006,TELUKPAUH,1401051
1401051005,TANAH BEKALI,14.09.09.2007,TANAH BEKALI,1401051
1401051006,PULAU DERAS,14.09.09.2005,PULAUDERAS,1401051
