kode_bps,nama_bps,kode_dagri,nama_dagri,parent
11,ACEH,11,ACEH,0
12,SUMATERA UTARA,12,SUMATERA UTARA,0
13,SUMATERA BARAT,13,SUMATERA BARAT,0
14,RIAU,14,RIAU,0
15,JAMBI,15,JAMBI,0
16,SUMATERA SELATAN,16,SUMATERA SELATAN,0
17,BENGKULU,17,BENGKULU,0
18,LAMPUNG,18,LAMPUNG,0
19,KEP. BANGKA BELITUNG,19,KEP. BANGKA BELITUNG,0
21,KEP. RIAU,21,KEP. RIAU,0
31,DKI JAKARTA,31,DKI JAKARTA,0
32,JAWA BARAT,32,JAWA BARAT,0
33,JAWA TENGAH,33,JAWA TENGAH,0
34,DI YOGYAKARTA,34,DI YOGYAKARTA,0
35,JAWA TIMUR,35,JAWA TIMUR,0
36,BANTEN,36,BANTEN,0
51,BALI,51,BALI,0
52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,0
53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,0
61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,0
62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,0
63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,0
64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,0
65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,0
71,SULAWESI UTARA,71,SULAWESI UTARA,0
72,SULAWESI TENGAH,72,SULAWESI TENGAH,0
73,SULAWESI SELATAN,73,SULAWESI SELATAN,0
74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,0
75,GORONTALO,75,GORONTALO,0
76,SULAWESI BARAT,76,SULAWESI BARAT,0
81,MALUKU,81,MALUKU,0
82,MALUKU UTARA,82,MALUKU UTARA,0
91,PAPUA BARAT,92,PAPUA BARAT,0
94,PAPUA,91,PAPUA,0
